repository,stratum,method,k,recall_macro,recall_num,recall_den,precision_macro,precision_defined,fraction_mean,coverage,abstention,mrr,mean_list_len,positive,new_test_only,zero_test_touch,suite_mean
remult/remult,TypeScript,HMAX,5,0.5745,50,108,0.2261,67,0.0325,0.9853,0.0147,0.5610,37.8382,68,6,126,132.6850
remult/remult,TypeScript,HMAX,10,0.6669,64,108,0.1997,67,0.0586,0.9853,0.0147,0.5610,37.8382,68,6,126,132.6850
remult/remult,TypeScript,B0,1,0.0374,6,108,0.0882,68,0.0075,1.0000,0.0000,0.1868,104.7794,68,6,126,132.6850
remult/remult,TypeScript,B0,3,0.0868,13,108,0.0637,68,0.0226,1.0000,0.0000,0.1868,104.7794,68,6,126,132.6850
remult/remult,TypeScript,B0,5,0.1824,20,108,0.0588,68,0.0377,1.0000,0.0000,0.1868,104.7794,68,6,126,132.6850
remult/remult,TypeScript,B0,10,0.3797,38,108,0.0559,68,0.0754,1.0000,0.0000,0.1868,104.7794,68,6,126,132.6850
remult/remult,TypeScript,B1,1,0.1206,10,108,0.1471,68,0.0075,1.0000,0.0000,0.2470,125.1029,68,6,126,132.6850
remult/remult,TypeScript,B1,3,0.2542,21,108,0.1029,68,0.0226,1.0000,0.0000,0.2470,125.1029,68,6,126,132.6850
remult/remult,TypeScript,B1,5,0.3179,26,108,0.0765,68,0.0377,1.0000,0.0000,0.2470,125.1029,68,6,126,132.6850
remult/remult,TypeScript,B1,10,0.4135,34,108,0.0500,68,0.0754,1.0000,0.0000,0.2470,125.1029,68,6,126,132.6850
